text,label
"“You Trumpsters better pray that liberals never gain control of the WH again because we are going to pay you back so fucking hard for all of this shit. Planned Parenthoods on every damn corner. We're going to repaint Air Force One, pussy hat pink and fly it over your beloved Bible Belt 6 days a week, tossing birth control pills, condoms & atheist literature from the cockpit. We're going to tax your mega churches so bad Joel Olsteen will need to get a job at Chik Fil A to pay his light bill. Speaking of Chik Fil A, we're buying all those and giving them to any LGBTQ person your sick cult leaders tortured with conversion therapy. Have fun with the new menu you bigoted fucks. Try the McPence. It's a boiled unseasoned chicken breast that you have to eat in the closet with your mother. We’re going to gather up ALL of your guns, melt them down and turn them into a gargantuan metal mountain emblazoned with the face of Hillary Clinton. ALL parks will be renamed Rosa Parks asap. We're replacing Confederate statues with BLM Leaders & Mexican immigrants. Every single public school will be renamed after a child that was kidnapped by this regime. And after we fumigate the WH, we're repainting the whole thing rainbow. Fox News will be taken over and turned into a family refugee shelter. We're turning Hannity's office into a giant unisex bathroom with changing tables & free tampons. And every single time a Trumpster complains about any of the changes, we're adding an openly gay character to a Disney movie.""",1
Fucking people are nuts. That's nearly as bad as rape. What the fuck is wrong with people and why is America turning into a stockpot of shitheads?,1
#HAHAHAKAMALAGOHANGYOURSELF,1
Fuck your opinion….,1
"One of the few other JETs that I know recently went to the US and came back with a Johnson and Johnson vaccine. I am almost certain that he had to wait 14 days, but he's here now, and I know that he was in the US in August. So if you've got the job, I think you're going to be okay. Do you have any other questions?",0
you are lucky I'm not one of your players or you would be Drow'ning in these jokes,0
OH HELL NO BRING ON THE NUREMBERG TRIALS arrest all these mass serial murderers !!!,1
"Lol fucking true
 Pov: Old man rants
 Get fucked Keem enjoy your faze money and hopefully you finally stfu.
 May every creators sleep in peace goes you are gone. 
 Bye you fucking Gnome",1
He keeps slapping the face of the Americans in this country and the leftist communists and adoring media keep holding him up as a savior. It is pathetic. LET'S GO BRANDON!!,1
"I think she thinks the same as most of us. He's a disgusting, repulsive old man.",1
I love your concepts.,0
that innocent think made me happy.....,0
Ondine is actually a great mix of panik and kalm,0
This made my whole day,0
i need that infernal sylas,0
No wonder CAMEL TOE only garnered 2% of the Democrat Primary vote before being kicked to the curb.,1
If he would drop Dead he would get a better rating just a thought.Let's go Brandon,1
So much patience! It's great!,0
☭ WHY DO #LIBERALS HATE #AMERICA? ☹ WHY DOES A #LIBERAL WORSHIP #COMMUNISM? ☭ #LIBERALISM is a Severe Disease and Mental Illness – Find a Cure - #Democrats #LiberalLogic #Leftists #LibTard #LiberalHypocrisy #JoeBiden - q-7391,1
Why is this POS liberal socialist communist democrat still in charge of the USA ???? Someone needs to step up and arrest him and all of his Administration.,1
Taric and rakan?,0
Seattle Freeze also refers to when people suggests hanging out but then don’t follow through for whatever reason with actually making it happen. We’ll see what happens here.,0
"Soros is nothing less than PURE EVIL. . He needs to be ""cancelled"" from this planet",1
"Why do you Americans put up with these people? In Wales, we’d just fuck them up.",1
"I was so excited when I first saw the glasses, and I was NOT disappointed with the result!! Well done.",0
"What a load of garbage! Cuomo is an incompetent Governor and lacks the ability to run a state like NY! Talk is cheap buddy but actions and leadership that takes intellectual ability, something you are clearly lacking! People will never forget YOU and YOU alone sent thousands of elderly folks back to nursing homes to die!You had the Comfort ship and Javitt Center that YOU FAILED to utilize!",1
Don't worry we will see our documentary in 10-15 years when the farmers have cancer and the wild life has depleted in the area. Lawsuits will come up for the cancer cases and the farmers will like well orange man said it was okay so I didn't think it would be so bad,0
"White Len!
 
 
 
 I love her tricky movement. I would honestly be sort of sad if we got Len and that wasn't added in to her moveset somehow.
 
 
 
 I also require Nvrseqrvrqrqrr and would enjoy Aoko, Satsuki and Eltnam.",0
Build a new Mayflower that can be used to send all overstaying pinkies back home.,1
"I do this with store-bought breaded shrimp all the time. The way you are better than be is that the seasoning is IN the batter, not dusted on top. Play! Experiment! You'll do something wonderful if you are already putting in that effort.",0
"Makes sense. Bjergsen is pretty close to Doublelift, and I'm sure he heard a lot about CoreJJ from him considering DL still waxes poetic about how amazing Core is every chance he gets.
 
 
 
 I'm sure he knows his talent from playing against him, but hearing how good of a teammate Core is from first-hand experience would definitely solidify that desire to be on his team.",0
Let’s Go Cho Xiden.. straight to the trash,1
"Playing Pot is like driving a tank. Playing Millia is like kite surfing.
 
 
 
 Go explore the skies my son.",0
"Joe Biden should be kicked up,along with Kamala pelosi and the rest of the swamp",1
This is very nice for my DM.,0
"I have nothing to hide
 Fuck Joe Biden!",1
"I appreciate now knowing this exists. Great marketing.
 
 
 
 You didn't even care that this post was here, you're just spreading awareness of the subs existence!!",0
"The Fucktard-in-Chief is fighting both the left and the right.
 For malignant narcissists, it's always EVERYBODY ELSE'S fault, never their own.
 The national gaslighting tour rolls on...
 PS: when he talks about changing the libel laws, he's talking about amending the 1st Fucking Amendment.",1
If this doesn’t included her ingesting Cyanide at the end of this video it has all been a waste.,1
"I'd love to see these Republicans slowly flayed alive and see how much is removed before they take back their lies. Aw, the screams, I can hear them now, what a wonderful sound 😄",1
"So Steven once again debates someone who he knows he has the upper hand over, but the moment he is faced with a competent debater, he pisses his pants. The man is so weak, his father must be ashamed.",1
"If this is a serious question, it’s the week long break in November that was implemented for student mental health",0
"INSULTING AND UNAMERICAN!
 GET YOUR FILTHY DISGUSTING DEMOCRAT PAWS OFF MY WALLET!",1
"You need to submit an after hours trade as an ""EXT"" order or extended hours order. These EXT orders must also be submitted as a limit order as opposed to a market order for trades that are made during market hours.
 
 
 
 Edit: Grammar",0
What a fu#cking airhead this is! This world really is fucked,1
"ME SITTING ON THE ACCEPTING COUCH THAT WE ALL DAY ALL NEED WATCHING MOVIES REST
 
 
 
 Idk the message came across to me ^ _ ^",0
POS!,1
We all should be thinking this to ourselves,0
I skipped the past 3 months but will not be skipping December!,0
"This should NOT be about a white raising a black or a black raising a white. It should be about gender confusion, ungodlyness, twisted principles, perverse abuse and a UNNWO that is pushed down our children's throats by monsters such as these hollywood clan and many others. This is not God!",1
"lol good. I saw that a lot of people recommended shin black, but I'd like to put a vote in for shin in the red bag. It's always good and is always stocked in our pantry. Crack an egg into it right before the noodles are done cooking, or, if you're really hungry, melt a slice of American cheese into the noodles and mix it up really well.
 
 
 
 Also, and this applies to all instant noodles, don't use the amount of water they recommend on the bag. Use less, fill your pot up just enough to submerge the noodle puck. And don't drink all the broth, that's a lot of salt.",0
This is great,0
Attack only Chinese not other Asians,1
"Love these designs, keep up the good work!",0
Just finished the survey! Zyra also seems to be missing from the champion list.,0
"I'm still really confused why A-1 has decided to go from floor 1 to floor 5 with their Progressive adaptation. I absolutely love floor 5 (volume 4) of Progressive, but floors 2-4 getting the cut isn't a smart adaptation decision.
 
 
 
 EDIT: So Kawahara has confirmed on his Twitter that the reason floors 2-4 are being skipped is because the Elf War Campaign is still incomplete, and don't want viewers to be unsatisfied with the questline.",0
There is a reason why countries with a particular race are more developed and countries with some other race are still poor,1
"Trumptards are a lost case ...they're as brainwashed as the mask wearing sheep...all parties are freemason controlled. 
 If they're freemasons ...they're in on it and all need to vanish.",1
"Elon Musk is a piece of shit, greedy capitalist who exploits workers, and offers nothing of real benefit to the world.
 All he’s done is make a name for himself on the backs of other people, using dirty money from his family’s emerald mine they acquired during apartheid.
 I don’t care that he’s autistic. He thinks we should be cured with his company’s AI chip. 
 He is not a representation of our community. Don’t celebrate him on this page.",1
"Awe I felt the reality of this story! I have many similar happenings, none with near death though!",0
"DIG had the best bot lane that season in terms of 2v2 laning. However, it was the season of lane swaps so often it would not matter.",0
The morality police are after me. Fuck em. Fuck em with this dick.,1
Very cool! Good luck!,0
I don't like CUNTMILA at all...................And F- Joe Too...............,1
If the bathroom door is closed no matter where i always knock before trying to open it.,0
"200,000,000 American Patriots with 400,000,000 guns are ready to kill ALL non-constitutional persons in U.S. and come after WEF.",1
Or some of you shit heads could go get a job.....,1
You can transfer it to paypal.,0
"Yes, but honestly when reading through it, the books kinda get samey lol.
 
 
 
 I read them because Im just a sap for some Kirito/Asuna but yeah it can feel kinda samey. Hopefully the story gets a hit mixed up soon. As I believe it should soon based on what's alluded to in the og series.",0
"Only in the moronic cult of trumptards. The unscrupulous T-idiot won't give a f*ck about his followers, yet they adore him. 😆",1
"""Jon Mills, a Cummins representative, confirmed to Business Insider that the company, which employs some 62,610 people globally, would reduce its global workforce by about 2,000 by the first quarter of 2020.
 It's not clear which Cummins locations or departments will be affected by the layoffs.""
 As we communicated to our employees last week, demand has deteriorated even faster than expected, and we need to adjust to reduce costs,"" Mills said in an emailed statement.""
 You stupid fucking trumpsters done winning yet",1
Congrats on your new friend!,0
I'm pretty sure her plan was ill get bot tower voli will get top tower maybe inhib and we'll both back to defend. (Which is pretty good trade) No way did she think voli will go balls deep and end,0
Where is the rape? Fake wore,1
Shut the absolute fuck up you stupid ass goddamn moron,1
That's one of the things that I'm really proud of punx for. Never gave up the tradition of NeoNazi bashing.,0
"""How to correctly hit a #woman"" #feminism #islam #terrorist",1
Look at all these dumb degenerates actually believing the Pope is a sheep lol. Such lowly educated,1
This guy out here with full size Twix’s. Driving 5 miles to trick or treat the rich neighborhood.,0
"Thats epic! Moving to Manchester and while reading the post was literally thinking ""I wonder if theres anything similar in Manchester!"" Looking forward to it.",0
"I read this in Joseph’s voice, absolutely golden. Get stickied",0
"They’re shallots, actually",0
"This is for all you Crybaby Transpo-People , NYC Police and NYC Firefighters and Cry Baby I Think I'm all that and then some Airline Pilots ( # 1 you drive a BUS --lets get that straight ) 1 Weeks of training and Any Sesna Pilot can fly a Jet --Heck Even John Travolta and Indian Jones can Fly a Jet FOR REAL they can ...with that being said "" GET Covid Vaccinated - It's the LAW "" !!!You ALL NEED to Act like Grown Adults not a premature Sissy La La - GET the VACCINE and Like it..You Voted for Biden now Reap the Whirl-Wind of your actions ..Rough Travel you say ,,I say SORRY I don't wanna Fly Covid Airlines or I'm a lil Drunk Airlines ...",1
"I have names for them too, Gold digging Bitch and Daddy's Squeeze.",1
I've been called horrible things by Warren supporters. They're awful.,0
Magic School Bus slaps.,0
Best moment of HK,0
"Not only need to be fired, they need to be banned from working in any type of law enforcement...""RIGHT ON TO THA REAL ! DEATH TO THA FAKER'S ! !"" -Big Rube",1
Thanks for giving me confidence… Now I have recalled that I used to do volunteering in our Kids’ church community. 😅,0
Hope you have a great day!,0
"Damn fresh ass cut , 
 Truth is the Step dad can't TAG FOR SHIT ,
 The Counselor was actually a rival from 803 krew and saw that shit and was Like Hell nah Fuck 308 and Capped the Piece. He won't allow Toys in his school,and 
 The White out to fill in the 3D fx for the letters was toy too
 AND THAT LADIES AND GENTLEMEN IS WHY ZIGZAG FROM 803 KREW CAPPED THAT WEAK ASS SPOT ON LIL FOO'S CAVESA",1
"Just wow bro. How did she even did that, it looks like masterpiece.",0
President poopy pants #fjb,1
And you are proud of dementia Joe that can't even finish a sentence and is ruining our country? You're a special kind of stupid.,1
I made this last year and it was absolutely amazing.,0
Prosecute trump he is unstable with a full diaper🤡💩💦👶🤮👶💦💩🤡🤑😈🤑🤡💩🤡,1
Save them babies from their murderous mothers,1
"I just reread this part of Crystal Shard, too. Salvatore didn't say anything about it, but I'd imagined his purple eyes shining or twinkling (heh) when he found it. I love the image.",0
"Vito wouldn't have orchestrated his scheme if he felt that he still had long for this world. Perhaps, the war will continue as a personal vendetta on part of the Corleone Family which will likewise all but ensure their demise, which is ironic considering that the Maranzano was wiped in the same manner: a failed deal that spiraled down.",0
"Smite jinx... int or pentakill?
 
 
 
 Both.",0
"""I am asking you in a very educated manner"" bitch get out of the fucking car",1
"We got a dementia patient & the Joker running the United States, but at least she’s female & POC right? 😁 😏",1
Same exact word! Spanish speakers just like to add -ita or -ito to the end of things to make it sound cute. It's also use when referring to something small- like grandmas! :D,0
"New Cait looks great, awesome work! The Jinx skin looks slightly strange, especially the face, but it's a free skin so that's cool too. My only question is if we will also get the event with the Brand prestige on PBE tomorrow or not.",0
"""WHERE'S YOUR MASKS, YOU LIBFUK CUNTS?"" THE BITCH WHO CRIED TRUMP'S VICTORY OVER HER IN 2016 WAS ""ILLEGITIMATE"", CLAIMS WE WHO KNOW THE 2020 ELECTION WAS STOLEN ARE ""THE PROBLEM""!",1
"Fuck political correctness. Enough is enough. You don't like the station, change the fucking channel!",1
"i’m literally dropping out after seeing this, i feel like it’s a sign",0
"I will not reveal my identity here but I have to state that you deserve what you are getting right now. As a younger man of age 14, 15, 16 and 17 in the 1980s, I was approached by men like you while they abused their positions of power as my employer in order to coerce me to have sex with them; when I did not relent they went so far as attempting to ram pens up my Rectum and surround me in semi-public areas and Gang-like atmosphere. Furthermore, I was approached by Gay Men/Pedophiles to make Gay/Pedophile Porn while still age 14, 15, 16 and 17. I am glad that you, Weinstein and the rest of you pieces of SHIT are being revealed for who you really are - this is the Hollywood of today. While it took me 20 to 35 years to reveal these facts, I am glad that I can share this with the General Public; I am relieved. People like you deserve to be castrated in Public...",1
ABORTION IS MURDER!!!! GET ON BIRTH CONTROL-----KEEP YOUR LEGS TOGETHER!!!! MAYBE HAVE SOME MORALS!,1
They look absolutely amazing!,0
"When the Trumptards, roll up there sleeves and take there horses' and cows' medicines, because God knows Veterans sounds kind of close to Veterinarians??? After all you have to support the troops but not the vegetarians, that do not eat meat, God Damit???",1
So super cute! 🖤,0
damn pedophile,1
"This is very specifically based on the experience of ""listening to a piano piece for the first time and tapping out whatever you hear on the table in a vague imitation of playing it on an actual keyboard.""",0
"Joe Is An INTENTIONAL IDIOT, SURROUNDED BY MORE INCOMPETENT PEOPLE!!!
 The Only Reason To Cancel The Pipeline Is A Nod To RUSSIA As A PAY BACK FOR HUNTER BIDEN & BURISMA!!
 Joe Does Not Care About The AMERICAN PEOPLE… IF HE DID HE NEVER WOULD HAVE TAKEN THE JOB, HE IS INCAPABLE OF DOING!!!",1
I have never seen a dice hammer that is so fucking cool I definitely need one,0
"You wont be doing much teaching, you will be there to help the students not be scared of foreigners. As long as you are friendly and approachable you will be great!!!",0
"That is amazing. Many men are pressured too fight to save face, even taking care of your own children can be seen as femenine. It's amazing that more men get help instead of having to just swallow their problems and end expressing that frustration with violence that makes them and the people around then unhappy out even unsafe.",0
"We worked on it for a month, and it's structured with three hula hoops, a bunch of cardboard, several cans of spray paint, a bunch of styrofoam balls, two rolls of Gorilla tape and a couple of household utensils. Allons-y!",0
"Yep those Trumptards, sure wish they had a union now to fight the vaccination legal battle, dumbassess???",1
"Joe Biden FORGETS HE HAS A FULL DIAPER AND…
 Joe Biden said he would be a president who under-promised and over-delivered.
 Bullshite. 
 The nearly 90 year old man over-promised and under-delivered 
 The Biden White House is failing in a very public way to nail down a nearly $3 trillion domestic package that the forgetful “president” has framed as a historic investment in infrastructure and social spending, the moment is clouded by a sense among many democrats that the scaled back package falls far short of the lofty expectations set by the president himself.",1
"He does that a lot -- makes everyone look good but him...I guess it's also probably the Dems and the Media that force him to compulsively tweet abject bullshit like a lying bitch. They're tricky, them libs.",1
They should Impeach Joe Biden Now and I hope He star's in Alec Baldwin's next Western Movie!,1
That was the best thing to have instant friends!,0
I didn't vote for this clown he's not my president let's go Brandon!!,1
Man is this even a discussion? Don’t no body care that lizzo fat she look disgusting and ion care what nobody say,1
That is a 10/10. Nailed it.,0
Thank you :),0
"The more pigs who quit or die from covid, the safer we'll all be",1
Make sure you understand what President Dickhead is doing to your families and your future families. Joe Biden you’re a scum bag with a dirty diaper.,1
"All of the Trumptards are talking their sh%t that our prez can't walk without falling or tripping as compared to their cult leader. Obviously they haven't seen enough of Joe in action...😒
 I mean, WHO is the one who needs assistance?? And it's sure as hell NOT Biden. HE'S the one who jogs every morning with the Secret Service.🏃‍♂️🤣🏃 And what does does Don The Con do for ""exercise""? ⛳",1
Did I say “Fuck The Little Commie Girlie Antifa Bitches” yet?,1
"Upvoted for the elbows, not sure why, just cool ass elbows",0
Without a shadow of a doubt! You are jaw dropping,0
It’s Orange Fucktard time.,1
Ivanka is just icky. An artificially created fembot who sleeps with her father. Does she realize just how bizarre she is?.,1
Gorgeous! Are you the artist? Do you have a website or Instagram I can follow?,0
not sure why people think your degree will be useless - it's the basis of data science/analytics,0
"wait till you hear the news about Hans Sama, Inspired and Carzzy playing in NA before you say that",0
"Hey, that's cross stitch!
 
 
 
 It looks really good! Great job!",0
"Alec shut the F up
 The more you talk the dipper you dig your grave.",1
Foff fauci kids do not need to take a vaccine..YOU DON'T OWN US FOFF,1
Ugh I love the yawns!,0
"To..
 Biden\Hitler and administration...
 GTFO OF OUR WHITE HOUSE..P.O.S MTHR FCKRS..",1
"Checks out. I am that person. I'm barely 5'2'' in a friend group of 6ft+ giants. Dang it, they're going to be happy giants if I can help it!!",0
"#TFGloser‼️ #LoserTrump.
 #TrumpLiedPeopleDied‼️
 #TrumpVirus.",1
I used to feel sorry for chomsky for being a frail old man. Now I hope he falls victim to the vaccine,1
ILLEGITIMATE INCOMPETENT TYRANT TALIBIDEN,1
POTATO 🥔 JOE DOING WHAT HE DOES BEST. RUNS AWAY FROM EVERYTHING. FROM QUESTIONS TO THE MIDDLE EAST. BUT DOSENT RUN WHEN HE SHITS HIS PANTS WITH THE POPE. TOTAL DOOFUS,1
"nope that is n will always be the DUMP. There has never ever been a bigger lying, cheating, sneaking, thieving POS in that office.",1
There's also virtually no loading screen from the title screen to his announcement,0
I really like this! It reminds me of one of my favourite places near my home. Great job!,0
Me and my friend literally had this same conversation the other day! Would be great if our bodies could have different symptoms so we know what it is instead of freaking us out every month 😂,0
"That's what a rapist pedifile does, she should have kicked his nuts",1
My maternal abuelita taught me how to make plantain empanadas 🥺 and my paternal abuelita needed me to help her brush her dentures 😌 I love them so much 🥰,0
That would be a pretty good timeline for NA,0
"Anyone who supports Biden is no better than Hitler’s followers!
 #BidenHitler",1
#libtard,1
"I'm excited for ipsy GBX too, it's my first ever gbx, and i hadn't gotten ipsy in more than a year so i do hope I'm not massively disappointed",0
"Please, it's the funniest timeline and i need it to happen",0
Stringy Mc String-face,0
"Yes! This is why I love rereading Salvatore. It's like I've come to know Drizzt so well, that I can imagine what he would do, behind just the words.",0
"i love how he triggers these bitter and uninformed magats...even just the mention of his name. 😂💖🥳🥂~ these same people brushed off - justified - rationalized - minimized - ignored every crass, vulgar, immature, out-right lie that trump ever uttered.",1
"having a bye would put group winners at a disadvantage though, I don't think they should introduce byes ever again in league",0
"It's ALL free, says fuck JOE BIDEN",1
Plosi is a wrinkled puke corporate liar and the only transformative bill is for the Dems corporate money bribes,1
"I love Lynch's Dune. I prefer the original cut mostly for the opening that they replaced with a storyboard explanation. The music,sets,costumes makes it a wonderful experience I never tire of. The effects are often weak and a great cast doesn't always deliver but it's still fun.",0
Truly embracing the loose cannon aspect of their character.,0
Everyone in this comment section dumb af lol including the ones defending the vaccine,1
"The first part is true. The second is sort of weird. That could easily be achieved by having a call in the morning and a call in the evening. Liquidity begets liquidity, so there would be big volumes then, in particular if funds used the call price to set NAV.",0
"And to think that years ago I liked A. Cooper, he's really an a-hole!",1
Honestly quite smart of them. The MtG art is beautiful so I'm honestly glad they are using it in official D&D books.,0
I want to see Karen’s getting the sh t kicked out of them,1
You’re so full of shit…..and food.,1
oh man who’s cutting the onions,0
This is what it feels like being a gymnastics coach every day! My babies be doing there best 😭❤️,0
